Company Name	API ID
LINC ENERGY LTD	TI6:SGX
LINDETEVES-JACOBERG LTD	L15:SGX
LION ASIAPAC LTD	L08:SGX
LION TECK CHIANG LTD	L17:SGX
LIONGOLD CORP LTD	A78:SGX
LIPPO MALLS INDO RETAIL TRUST	D5IU:SGX
LIZHONG WHEEL GROUP LTD.	E94:SGX
LOGISTICS HOLDINGS LIMITED	5VI:CATALIST
LONGCHEER HOLDINGS LIMITED	L28:SGX
LONZA GROUP LTD	O6Z:SGX
LORENZO INTERNATIONAL LIMITED	5IE:SGX
LOTTVISION LIMITED	M22:SGX
LOW KENG HUAT (SINGAPORE) LTD	F1E:SGX
LOYZ ENERGY LIMITED	594:CATALIST
LUM CHANG HOLDINGS LIMITED	L19:SGX
LUNG KEE (BERMUDA) HLDGS LTD	L09:SGX
LUXKING GROUP HOLDINGS LIMITED	L34:SGX
LUZHOU BIO-CHEM TECHNOLOGY LTD	L46:SGX
M DEVELOPMENT LTD.	N14:SGX
M1 LIMITED	B2F:SGX
MACQUARIE INT'L INFRA FUND LTD	M41:SGX
MAGNUS ENERGY GROUP LTD.	576:CATALIST
MALAYSIA SMELTING CORP BHD 100	NC9:SGX
MANDARIN ORIENTAL INTL LTD	M04:SGX
MANHATTAN RESOURCES LIMITED	L02:SGX
MANN SENG METAL INTL LIMITED	5QR:CATALIST
MAPLETREE COMMERCIAL TRUST	N2IU:SGX
MAPLETREE GREATER CHINACOMM TR	RW0U:SGX
MAPLETREE INDUSTRIAL TRUST	ME8U:SGX
MAPLETREE LOGISTICS TRUST	M44U:SGX
MARCO POLO MARINE LTD.	5LY:SGX
MARUWA CO. LTD	M12:SGX
MARY CHIA HOLDINGS LIMITED	5OX:CATALIST
MATEX INTERNATIONAL LIMITED	M15:SGX
MAXI-CASH FIN SVCS CORP LTD	5UF:CATALIST
MDR LIMITED	A27:SGX
MEDTECS INTERNATIONAL CORP LTD	546:CATALIST
MEGACHEM LIMITED	5DS:CATALIST
MEGHMANI ORGANICS LIMITED	M30:SGX
MEMSTAR TECHNOLOGY LTD.	5MS:SGX
MEMTECH INTERNATIONAL LTD	M26:SGX
MENCAST HOLDINGS LTD.	5NF:SGX
MERCATOR LINES (SINGAPORE) LTD	EE6:SGX
MERMAID MARITIME PUBLIC CO LTD	DU4:SGX
METAL COMPONENT ENGG LTD	5DX:CATALIST
METECH INTERNATIONAL LIMITED	QG1:SGX
METRO HOLDINGS LIMITED	M01:SGX
MEWAH INTERNATIONAL INC.	MV4:SGX
MFG INTEGRATION TECHNOLOGY LTD	M11:SGX
MFS TECHNOLOGY LTD	5BM:SGX
MICRO-MECHANICS (HOLDINGS) LTD	5DD:SGX
MIDAS HLDGS LIMITED	5EN:SGX
MIRACH ENERGY LIMITED	C68:SGX
MIYOSHI PRECISION LIMITED	M03:SGX
MONEYMAX FINANCIAL SERVICESLTD	5WJ:CATALIST
MOYA HOLDINGS ASIA LIMITED	5WE:CATALIST
MTQ CORPORATION LIMITED	M05:SGX
MULTI-CHEM LIMITED	M06:SGX
MUN SIONG ENGINEERING LIMITED	MF6:SGX
MURATA MFG CO. LTD 100	M20:SGX
MYP LTD.	F86:SGX
NAM CHEONG LIMITED	N4E:SGX
NAM LEE PRESSED METAL INDS LTD	G0I:SGX
NATURAL COOL HOLDINGS LIMITED	5IF:CATALIST
NEO GROUP LIMITED	5UJ:CATALIST
NEPTUNE ORIENT LINES LIMITED	N03:SGX
NERATELECOMMUNICATIONS LTD	N01:SGX
NET PACIFIC FIN HLDGS LTD	5QY:CATALIST
NEW TOYO INT HLDGS LTD	N08:SGX
NEW WAVE HOLDINGS LTD.	5FX:CATALIST
NEXT-GEN SATELLITE COMM LTD	B07:SGX
NH CERAMICS LTD	5AC:CATALIST
NICO STEEL HOLDINGS LIMITED	5GF:SGX
NIPPECRAFT LIMITED	N32:SGX
NOBEL DESIGN HOLDINGS LTD	547:SGX
NOBLE GROUP LIMITED	N21:SGX
NOEL GIFTS INTERNATIONAL LTD	543:SGX
