Company Name,Stock Code:Market,ISIN Code,HP Short Name
CAPITALAND LIMITED,C31:SGX,SG1J27887962,CapitaLand
KING WAN CORPORATION LIMITED,554:SGX,SG1J32888328,King Wan
VIKING OFFSHORE AND MARINE LTD,557:CATALIST,SG1J35888424,Viking Offshore
AEM HOLDINGS LTD,A10:SGX,SG1J36888431,AEM
TSH CORPORATION LIMITED,574:CATALIST,SG1J38888702,TSH
MARUWA CO. LTD,M12:SGX,JP3879250003,Maruwa 100 Yen1k
HOTEL GRAND CENTRAL LTD,H18:SGX,SG1J41888780,Hotel Grand
HYFLUX LTD,600:SGX,SG1J47889782,Hyflux
ECS HOLDINGS LIMITED,E18:SGX,SG1J51890098,ECS
GUOCOLEISURE LIMITED,B16:SGX,BMG4210D1020,GuocoLeisure
INNOVALUES LIMITED,591:SGX,SG1J57890407,Innovalues
SCINTRONIX CORPORATION LTD.,T20:SGX,SG1J59890504,Scintronix^
TUNG LOK RESTAURANTS 2000 LTD,540:CATALIST,SG1J65890803,Tung Lok Rest
UNITED FOOD HOLDINGS LIMITED,U01:SGX,BMG9232V1054,United Food
SANTAK HOLDINGS LIMITED,580:CATALIST,SG1J68891147,Santak
ANNICA HOLDINGS LIMITED,5AL:CATALIST,SG1J70891671,Annica
SINGAPORE REINSURANCE COR LTD,S49:SGX,SG1J71891696,SingReinsurance
ASIATRAVEL.COM HOLDINGS LTD,5AM:CATALIST,SG1J72891703,Asiatravel.com
VALLIANZ HOLDINGS LIMITED,545:CATALIST,SG1J89892363,Vallianz
UMS HOLDINGS LIMITED,558:SGX,SG1J94892465,UMS
AP OIL INTERNATIONAL LIMITED,5AU:SGX,SG1K10892752,AP Oil
TOP GLOBAL LIMITED,519:SGX,SG1K15893086,Top Global
FISCHER TECH LTD,F22:SGX,SG1K16893192,Fischer Tech
WILLAS-ARRAY ELEC (HLDGS) LTD,W12:SGX,BMG9643L1000,Willas-Array
VASHION GROUP LTD.,5BA:CATALIST,SG1K20894269,Vashion
GLOBAL TECH (HLDGS) LIMITED,G11:SGX,KYG3932J1572,Global Tech
TAT SENG PACKAGING GROUP LTD,T12:SGX,SG1K31894969,Tat Seng Pkg
POLARIS LTD.,5BI:CATALIST,SG1L96897898,Polaris
KODA LTD,5BK:SGX,SG1M03899564,Koda
MFS TECHNOLOGY LTD,5BM:SGX,SG1M06899645,MFS Tech
HG METAL MANUFACTURING LTD,526:SGX,SG1M22901755,HG Metal
EUROPTRONIC GROUP LTD,E23:SGX,SG1M24902538,Europtronic^
PNE MICRON HOLDINGS LTD,5BS:CATALIST,SG1M25902545,PNE Micron
PACIFIC ANDES RESOURCES DEVLTD,P11:SGX,BMG6845B1046,Pacific Andes
