Exchange,Ticker,Date,Value,Volume,Currency
SGX MAINBOARD,O32,29/04/2015,184867,91600,SGD
SGX MAINBOARD,O32,28/04/2015,435924,216000,SGD
SGX MAINBOARD,O32,27/04/2015,463124,229200,SGD
SGX MAINBOARD,O32,24/04/2015,306624,152300,SGD
SGX MAINBOARD,O32,23/04/2015,1674621,836400,SGD
SGX MAINBOARD,O32,22/04/2015,555594,272300,SGD
SGX MAINBOARD,O32,21/04/2015,812320,398100,SGD
SGX MAINBOARD,O32,20/04/2015,564143,276300,SGD
SGX MAINBOARD,O32,17/04/2015,1321541,641000,SGD
SGX MAINBOARD,O32,16/04/2015,2038049,994500,SGD
SGX MAINBOARD,O32,15/04/2015,987109,487000,SGD
SGX MAINBOARD,O32,14/04/2015,957618,473000,SGD
SGX MAINBOARD,O32,13/04/2015,1077178,530000,SGD
SGX MAINBOARD,O32,10/04/2015,794714,392100,SGD
SGX MAINBOARD,O32,09/04/2015,1224477,611200,SGD
SGX MAINBOARD,O32,08/04/2015,501569,252100,SGD
SGX MAINBOARD,O32,07/04/2015,667025,334800,SGD
SGX MAINBOARD,O32,06/04/2015,323665,162500,SGD
SGX MAINBOARD,O32,02/04/2015,226383,113200,SGD
SGX MAINBOARD,O32,01/04/2015,758618,381700,SGD
SGX MAINBOARD,O32,31/03/2015,361822,182000,SGD
SGX MAINBOARD,O32,30/03/2015,524300,263000,SGD
SGX MAINBOARD,O32,27/03/2015,387996,194400,SGD
SGX MAINBOARD,O32,26/03/2015,607932,304800,SGD
SGX MAINBOARD,O32,25/03/2015,686525,345900,SGD
SGX MAINBOARD,O32,24/03/2015,654827,329200,SGD
SGX MAINBOARD,O32,23/03/2015,728815,368200,SGD
SGX MAINBOARD,O32,20/03/2015,4007808,2012100,SGD
SGX MAINBOARD,O32,19/03/2015,715403,357000,SGD
SGX MAINBOARD,O32,18/03/2015,1062028,530000,SGD
SGX MAINBOARD,O32,17/03/2015,1266176,629800,SGD
SGX MAINBOARD,O32,16/03/2015,767701,383500,SGD
SGX MAINBOARD,O32,13/03/2015,347906,172900,SGD
SGX MAINBOARD,O32,12/03/2015,256108,127800,SGD
SGX MAINBOARD,O32,11/03/2015,1052755,528100,SGD
SGX MAINBOARD,O32,10/03/2015,1008645,504200,SGD
SGX MAINBOARD,O32,09/03/2015,553332,275800,SGD
SGX MAINBOARD,O32,06/03/2015,289378,144400,SGD
SGX MAINBOARD,O32,05/03/2015,937481,469200,SGD
SGX MAINBOARD,O32,04/03/2015,469088,234800,SGD
SGX MAINBOARD,O32,03/03/2015,563232,280500,SGD
SGX MAINBOARD,O32,02/03/2015,1068944,533200,SGD
SGX MAINBOARD,O32,27/02/2015,669980,332600,SGD
SGX MAINBOARD,O32,26/02/2015,561338,277200,SGD
SGX MAINBOARD,O32,25/02/2015,1270364,627000,SGD
SGX MAINBOARD,O32,24/02/2015,1152745,571100,SGD
SGX MAINBOARD,O32,23/02/2015,1225063,605400,SGD
SGX MAINBOARD,O32,18/02/2015,793024,394900,SGD
SGX MAINBOARD,O32,17/02/2015,1145540,564800,SGD
SGX MAINBOARD,O32,16/02/2015,1613695,797200,SGD
SGX MAINBOARD,O32,13/02/2015,843259,419900,SGD
SGX MAINBOARD,O32,12/02/2015,1790544,878800,SGD
SGX MAINBOARD,O32,11/02/2015,2231139,1100700,SGD
SGX MAINBOARD,O32,10/02/2015,1524326,752800,SGD
SGX MAINBOARD,O32,09/02/2015,1397906,696300,SGD
SGX MAINBOARD,O32,06/02/2015,3514395,1747200,SGD
SGX MAINBOARD,O32,05/02/2015,1177953,596500,SGD
SGX MAINBOARD,O32,04/02/2015,1456784,733700,SGD
SGX MAINBOARD,O32,03/02/2015,793298,401000,SGD
SGX MAINBOARD,O32,02/02/2015,763592,386900,SGD
SGX MAINBOARD,O32,30/01/2015,1361899,687600,SGD
SGX MAINBOARD,O32,29/01/2015,1105051,557800,SGD
SGX MAINBOARD,O32,28/01/2015,713533,359300,SGD
SGX MAINBOARD,O32,27/01/2015,1002332,504200,SGD
SGX MAINBOARD,O32,26/01/2015,926540,467100,SGD
SGX MAINBOARD,O32,23/01/2015,3082057,1540200,SGD
SGX MAINBOARD,O32,22/01/2015,3096001,1569500,SGD
SGX MAINBOARD,O32,21/01/2015,613597,313300,SGD
SGX MAINBOARD,O32,20/01/2015,3212559,1640000,SGD
SGX MAINBOARD,O32,19/01/2015,1885515,964600,SGD
SGX MAINBOARD,O32,16/01/2015,1083920,552000,SGD
SGX MAINBOARD,O32,15/01/2015,1922675,972000,SGD
SGX MAINBOARD,O32,14/01/2015,2311105,1166000,SGD
SGX MAINBOARD,O32,13/01/2015,2805280,1411000,SGD
SGX MAINBOARD,O32,12/01/2015,1351840,673000,SGD
SGX MAINBOARD,O32,09/01/2015,1611480,797000,SGD
SGX MAINBOARD,O32,08/01/2015,1898230,937000,SGD
SGX MAINBOARD,O32,07/01/2015,1387170,684000,SGD
SGX MAINBOARD,O32,06/01/2015,822830,405000,SGD
SGX MAINBOARD,O32,05/01/2015,1242200,606000,SGD
SGX MAINBOARD,O32,02/01/2015,1101280,539000,SGD
SGX MAINBOARD,O32,31/12/2014,3364610,1654000,SGD
SGX MAINBOARD,O32,30/12/2014,553600,265000,SGD
SGX MAINBOARD,O32,29/12/2014,482280,231000,SGD
SGX MAINBOARD,O32,26/12/2014,64690,31000,SGD
SGX MAINBOARD,O32,24/12/2014,601420,287000,SGD
SGX MAINBOARD,O32,23/12/2014,2140800,1021000,SGD
SGX MAINBOARD,O32,22/12/2014,1422980,676000,SGD
SGX MAINBOARD,O32,19/12/2014,5399520,2583000,SGD
SGX MAINBOARD,O32,18/12/2014,4379970,2174000,SGD
SGX MAINBOARD,O32,17/12/2014,3281135,1678000,SGD
